CREDIT_ID	RETENTION_FIRST_QUOTA
25941	12.33
25946	5.93
25948	8.67
25951	3.86
25956	3.67
25957	12.03
25960	3.17
25961	3.29
25968	6.08
25970	2.35
25971	3.20
25976	2.45
25979	7.50
25983	7.40
25993	22.89
26005	6.21
26007	32.67
26008	13.00
26010	1.13
26013	3.99
26015	3.77
26018	4.08
26031	1.08
26034	9.16
26042	11.38
26043	17.33
26047	5.37
26048	2.68
26050	0.84
26059	14.63
26067	14.21
26071	117.65
26078	8.06
26084	11.35
26086	29.51
26094	9.27
26099	9.42
26100	23.44
26101	8.50
26108	6.33
26109	7.25
26116	37.50
26121	25.00
26122	3.00
26126	5.50
26129	43.75
26130	11.17
26131	8.67
26134	2.40
26137	14.48
26139	4.64
26143	18.00
26151	3.92
26153	4.40
26156	9.04
26157	28.00
26159	4.37
26161	17.25
26171	3.53
26176	11.42
26182	5.76
26185	2.09
26189	10.83
26196	2.66
26201	2.04
26204	1.80
26205	3.60
26207	4.92
26209	5.10
26212	3.30
26214	3.38
26221	6.97
26223	5.87
26226	21.02
26227	3.34
26234	8.72
26239	6.67
26242	2.67
26243	14.00
26245	4.10
26247	37.50
26256	15.25
26257	2.00
26261	2.16
26270	5.25
26271	1.28
26274	0.93
26277	10.00
26278	5.87
26285	1.59
26288	0.82
26289	0.97
26290	1.83
26297	0.98
26299	15.75
26300	3.89
26304	3.14
26311	0.20
26313	1.00
26314	0.38
26315	1.31
26333	25.00
26335	3.50
26341	1.17
26345	5.25
26349	3.58
26351	54.17
26355	5.08
26358	3.50
26377	3.20
26382	71.10
26383	71.10
26387	4.16
26394	5.32
26395	5.60
26397	1.40
26405	28.00
26406	2.87
26418	75.00
26419	3.93
26423	11.13
26426	27.95
26427	2.80
26428	1.15
26429	6.67
26430	3.27
26444	3.00
26448	21.56
26451	3.36
26452	3.80
26453	7.60
26455	57.00
26461	4.75
26468	22.14
26482	1.35
26487	42.00
26489	31.05
26490	1.96
26493	2.17
26495	12.00
26496	2.40
26501	1.60
26504	20.10
26511	12.10
26517	2.67
26518	1.20
26525	11.67
26526	1.35
26527	1.40
26528	10.50
26543	3.47
26548	5.00
26556	0.00
26557	1.88
26560	0.00
26561	4.96
26562	7.56
26563	40.64
26567	5.44
26568	3.52
26573	4.40
26574	52.00
26576	4.80
26579	3.04
26581	56.00
26585	3.68
26587	156.00
26603	2.49
26610	2.66
26615	4.25
26617	11.33
26619	7.08
26633	3.73
26636	26.67
26646	2.24
26647	3.52
26649	1.53
26650	1.56
26651	0.00
26652	2.24
26664	1.05
26668	4.50
26689	1.45
26691	1.40
26693	2.01
26694	9.33
26696	1.21
26700	1.87
26704	2.73
26707	2.93
26712	2.60
26717	1.65
26718	2.95
26719	2.25
26722	216.09
26726	317.78
26731	5.75
26732	1.73
26734	1.47
26738	1.80
26743	21.00
26750	1.38
26761	6.00
26765	14.74
26774	1.09
26777	6.30
26778	0.56
26783	8.80
26784	14.04
26785	14.04
26787	16.33
26788	5.25
26793	25.48
26794	6.00
26803	2.52
26805	7.00
26806	0.00
26818	1.33
26820	1.00
26823	0.13
26827	4.25
26837	9.06
26840	2.32
26841	4.00
26849	52.80
26850	4.16
26856	2.91
26863	2.88
26875	53.67
26885	3.74
26889	42.90
26906	5.72
26910	7.33
26913	7.13
26916	1.52
26920	14.25
26923	2.15
26929	10.67
26936	19.20
26939	4.50
26940	4.50
26943	74.25
26944	6.60
26947	1.76
26949	14.32
26953	39.67
26954	3.51
26955	11.27
26957	38.87
26958	0.00
26960	18.67
26962	22.56
26969	19.73
26972	17.60
26973	1.90
26986	12.40
26988	1.84
26990	6.04
26991	28.00
26998	18.33
26999	1.10
27008	5.50
27009	6.60
27012	1.07
27013	13.25
27015	1.40
27016	0.90
27020	1.17
27021	0.63
27025	25.00
27027	1.40
27031	3.78
27033	1.29
27037	14.70
27038	4.50
27040	11.80
27041	11.80
27042	1.49
27046	0.80
27049	1.00
27050	0.25
27052	12.50
27053	5.72
27054	7.00
27058	0.43
27059	2.14
27061	1.50
27063	6.30
27065	0.49
27072	0.00
27079	7.67
27080	19.75
27081	4.83
27082	29.33
27085	0.00
27098	34.93
27102	3.23
27104	4.77
27105	4.55
27106	4.97
27108	2.80
27110	8.33
27113	2.10
27120	2.31
27121	3.29
27123	3.15
27126	17.85
27129	3.27
27130	3.33
27139	2.07
27141	3.67
27144	2.87
27146	5.06
27151	3.17
27153	6.65
27155	7.85
27156	1.46
27158	7.79
27168	2.82
27172	6.00
27183	90.00
27194	20.00
27195	1.50
27197	48.75
27201	42.00
27213	2.66
27216	39.00
27217	2.04
27218	5.59
27221	2.73
27223	30.33
27224	8.36
27229	1.19
27230	1.19
27231	1.19
27232	11.92
27236	5.32
27239	3.08
27241	6.17
27246	2.96
27248	3.76
27258	156.00
27262	115.00
27265	6.06
27268	51.75
27270	2.61
27271	7.44
27272	3.91
27275	2.99
27294	1.05
27301	3.15
27303	2.45
27304	3.84
27317	2.93
27320	3.25
27323	38.40
27324	5.33
27326	2.77
27331	3.04
27343	7.50
27348	7.09
27356	3.78
27359	1.61
27366	2.57
27369	23.33
27370	6.70
27372	1.17
27373	22.55
27375	2.30
27381	2.67
27383	42.12
27386	0.75
27389	5.97
27392	1.40
27393	0.72
27399	0.63
27401	0.59
27402	1.03
27404	0.35
27410	17.60
27411	3.28
27418	6.32
27420	4.24
27423	4.00
27430	4.64
27433	2.64
27436	3.91
27446	3.30
27447	5.29
27450	20.70
27462	3.53
27464	1.84
27465	2.30
27467	6.06
27475	3.67
27481	3.01
27488	2.79
27489	22.00
27495	2.98
27496	36.73
27509	1.01
27514	27.00
27520	0.00
27524	2.88
27525	13.20
27526	22.50
27528	2.55
27529	0.00
27531	3.80
27536	3.46
27555	4.50
27557	1.35
27559	0.80
27561	10.56
27563	8.10
27564	20.00
27566	4.32
27585	7.53
27587	32.75
27588	2.33
27593	4.93
27594	4.93
27605	6.03
27607	3.05
27608	0.37
27624	2.17
27625	2.17
27626	35.10
27627	8.49
27629	5.72
27630	3.81
27633	2.43
27637	3.12
27639	1.91
27652	60.67
27659	5.46
27662	9.71
27667	6.15
27673	7.54
27676	4.42
27679	10.63
27682	3.63
27688	19.80
27693	6.99
27707	14.89
27711	9.75
27716	1.54
27717	5.39
27720	21.98
27723	198.45
27730	4.06
27732	16.85
27741	14.00
27747	5.33
27749	3.46
27750	4.60
27751	44.13
27754	5.00
27779	44.33
27782	95.76
27785	3.00
27788	4.56
27791	54.41
27792	10.44
27793	18.00
27796	10.30
27797	3.20
27799	2.45
27800	2.00
27803	7.50
27804	5.10
27812	3.73
27815	16.33
27816	45.50
27818	0.93
27819	2.30
27826	6.15
27828	23.05
27832	3.64
27834	7.02
27846	7.28
27850	72.45
27852	2.45
27854	9.28
27857	4.83
27859	20.00
27860	6.93
27865	26.67
27866	2.66
27869	7.92
27873	4.75
27874	22.17
27881	38.70
27888	8.16
27889	3.47
27892	4.37
27893	3.73
27894	48.00
27895	70.00
27896	3.60
27899	31.80
27900	7.20
27908	3.48
27911	2.93
27915	14.67
27916	2.27
27920	2.97
27926	2.82
27927	3.38
27931	2.00
27936	0.88
27938	3.23
27939	4.67
27945	1.13
27946	0.81
27953	4.75
27954	8.42
27961	14.17
27964	37.75
27969	3.17
27979	63.25
27981	14.96
27982	5.13
27984	2.57
27985	23.83
27993	6.53
27997	21.21
28002	8.40
28006	5.26
28008	6.33
28011	2.30
28012	2.93
28018	4.00
28019	23.33
28022	2.19
28025	2.79
28027	50.08
28032	12.00
28033	14.44
28035	46.88
28037	12.50
28042	4.25
28045	75.00
28053	3.97
28054	7.56
28057	30.33
28059	13.00
28062	5.20
